"ID","Start Time","End Time","Duration (Minutes)","Energy Burned (CAL)","Latitude","Longitude","Number of Climbs"
"729750626.04774","2024-02-15 20:30:26","2024-02-15 21:56:15","85.81666666666666","468.90999999999406","34.164946493724514","-118.15034251671112","20"
"729666334.362102","2024-02-14 21:05:34","2024-02-14 22:26:44","81.15","476.98399999999526","34.06391807369335","-118.21681989367885","20"
"729490861.667372","2024-02-12 20:21:01","2024-02-12 21:45:50","84.8","387.24799999999146","37.8514689021165","-122.29264939215247","13"
"729371404.255821","2024-02-11 11:10:04","2024-02-11 13:30:21","140.26666666666668","844.4720000000252","36.971137812395554","-121.96654197771285","40"
"729228105.107473","2024-02-09 19:21:45","2024-02-09 20:01:06","39.35","211.34700000000095","37.815704796665955","-122.28885680877896","14"
"729122386.799912","2024-02-08 13:59:46","2024-02-08 15:28:46","88.98333333333333","526.6799999999968","37.85163591734754","-122.29265159188662","18"
"728967927.886408","2024-02-06 19:05:27","2024-02-06 20:25:49","80.35","491.81999999999874","37.85087350845821","-122.29241298204835","21"
"728785034.728672","2024-02-04 16:17:14","2024-02-04 18:00:17","103.03333333333333","542.9309999999995","37.815517577770606","-122.28898891935796","20"
"728681918.117483","2024-02-03 11:38:38","2024-02-03 14:26:13","167.56666666666666","832.8929999999796","34.16475752782573","-118.15045503875828","32"
"728446248.325984","2024-01-31 18:10:48","2024-01-31 19:24:03","73.23333333333333","423.8759999999962","34.165097661348305","-118.15048174012281","19"
"728280321.412868","2024-01-29 20:05:21","2024-01-29 21:56:36","111.23333333333333","562.5659999999955","34.16486710510236","-118.15032183541895","26"
"728184438.479032","2024-01-28 17:27:18","2024-01-28 17:44:37","17.316666666666666","88.1790000000002","34.165020139754624","-118.15037540318458","1"
"728076988.337158","2024-01-27 11:36:28","2024-01-27 13:44:32","128.06666666666666","619.9559999999976","34.16486367843061","-118.1503700093131","29"
"727936507.250832","2024-01-25 20:35:07","2024-01-25 21:54:32","79.4","443.5789999999962","34.16485893910474","-118.15036307120722","9"
"727751745.907057","2024-01-23 17:15:45","2024-01-23 19:03:51","108.08333333333333","689.9920000000092","34.16500851872402","-118.15037535441813","13"
"727577355.240774","2024-01-21 16:49:15","2024-01-21 17:53:51","64.6","290.99900000000434","34.16476774963938","-118.15039272431112","5"
"727559048.029016","2024-01-21 11:44:08","2024-01-21 12:43:37","59.483333333333334","346.3380000000018","34.16500841710995","-118.1503752929242","21"
"727485998.713387","2024-01-20 15:26:38","2024-01-20 17:02:15","95.6","459.73400000001755","34.1650682827776","-118.15012173738158","21"
"727120096.653462","2024-01-16 09:48:16","2024-01-16 11:11:42","83.41666666666667","440.44600000000787","36.83676345742944","-2.4435064941667424","21"
"726511145.050437","2024-01-09 08:39:05","2024-01-09 10:04:33","85.46666666666667","547.3670000000049","36.83683730199638","-2.4435948394261704","19"
"725991643.259851","2024-01-03 08:20:43","2024-01-03 09:59:21","98.63333333333334","702.0410000000022","36.836676620912584","-2.4432808533333645","24"
"724459459.793373","2023-12-16 14:44:19","2023-12-16 16:54:37","130.28333333333333","687.3160000000182","37.81568401467032","-122.288903064326","24"
"723939247.91266","2023-12-10 14:14:07","2023-12-10 15:31:45","77.61666666666666","355.93600000000663","37.81557960636101","-122.2888572178383","19"
"723438992.602333","2023-12-04 19:16:32","2023-12-04 20:57:54","101.35","566.6550000000154","37.85110294822403","-122.2927150224543","33"
"723250358.383573","2023-12-02 14:52:38","2023-12-02 16:29:28","96.81666666666666","658.6610000000088","34.16490764808047","-118.1503368831286","40"
